track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre,gender
1CPZ5BxNNd0n0nF4Orb9JS,golden,huntr/x; ejae; audrey nuna; rei ami; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,194607,12,100,k-pop,group
02sy7FAs8dkDNYsHp4Ul3f,soda pop,saja boys; andrew choi; neckwav; danny chung; kevin woo; samuil lee; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,0BJ2EjOqcfgFvlZXNKrNbE; 7JBaynR7JFeniONqbnn1U4; 5bXNU0MAF2HSqyFPhYtscH; 11pXvO7wYuzRWYONDOBd33; 2RYonYiVhhzBz82UFXOvEN; 1eDupbD9kIx8UaZlzcBG5r; 7mW7Tv7NvywKKXqafZo0Lc,150686,12,95,k-pop,group
1I37Zz2g3hk9eWxaNkj031,your idol,saja boys; andrew choi; neckwav; danny chung; kevin woo; samuil lee; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,0BJ2EjOqcfgFvlZXNKrNbE; 7JBaynR7JFeniONqbnn1U4; 5bXNU0MAF2HSqyFPhYtscH; 11pXvO7wYuzRWYONDOBd33; 2RYonYiVhhzBz82UFXOvEN; 1eDupbD9kIx8UaZlzcBG5r; 7mW7Tv7NvywKKXqafZo0Lc,191537,12,95,k-pop,group
1qbmS6ep2hbBRaEZFpn7BX,man i need,olivia dean,0Bv6OJO0L5gcf20DMww54a,man i need,2025-08-15 00:00:00+00:00,2025,00x1fYSGhdqScXBRpSj3DW,184000,3,95,pop soul,female
3RXUgPNIbUgFxsDWuBQEt6,how it’s done,huntr/x; ejae; audrey nuna; rei ami; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,176059,12,94,k-pop,group
6dOtVTDdiauQNBQEDOtlAB,birds of a feather,billie eilish,7aJuG4TFXa2hmE4z1yxc3n,hit me hard and soft,2024-05-17 00:00:00+00:00,2024,6qqNVTkY8uBg9cP3Jd7DAH,210373,10,94,unknown,female
5sBDrrtLGbV64QJnEqfjer,what it sounds like,huntr/x; ejae; audrey nuna; rei ami; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,250268,12,93,k-pop,group
3cZajhyr8LmtPfHZ9296tj,no broke boys,disco lines; tinashe,520FALYwo6yPbp5kBchA8N,no broke boys,2025-06-06 00:00:00+00:00,2025,5Kmr0b3ip8g9P2i0dLTC3Z; 0NIIxcxNHmOoyBx03SfTCD,163994,1,93,alternative r&b; stutter house,group
1xOqGUkyxGQRdCvGpvWKmL,gabriela,katseye,6rpin9IVOuBEWBYnrA9hft,gabriela,2025-06-20 00:00:00+00:00,2025,3c0gDdb9lhnHGFtP4prQpn,197226,2,93,k-pop,unknown
42VUCXerQ5qTr4Qp6PhKo4,tears,sabrina carpenter,1aqg30bNvLSWgShZgX4oop,man’s best friend,2025-08-29 00:00:00+00:00,2025,74KM79TiuVKeVCqs8QtB0B,160183,12,93,pop,female
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,0QLILSOq1IqAqx62drmv4E,back to friends,2024-12-27 00:00:00+00:00,2024,4G9NDjRyZFDlJKMRL8hx3S,199032,1,93,unknown,male
2plbrEY59IikOBgBGLjaoe,die with a smile,lady gaga; bruno mars,10FLjwfpbxLmW8c25Xyc2N,die with a smile,2024-08-16 00:00:00+00:00,2024,1HY2Jd0NmPuamShAr6KMms; 0du5cEVh5yTK9QJze8zA0C,251667,1,92,art pop; pop,group
5BZsQlgw21vDOAjoqkNgKb,daisies,justin bieber,5vD5M5VW62LL78Ko8x0CVZ,swag,2025-07-11 00:00:00+00:00,2025,1uNFoZAHBGtllmzznpCI3s,176453,21,92,unknown,male
3QaPy1KgI7nu9FJEQUgn6h,wildflower,billie eilish,7aJuG4TFXa2hmE4z1yxc3n,hit me hard and soft,2024-05-17 00:00:00+00:00,2024,6qqNVTkY8uBg9cP3Jd7DAH,261466,10,92,unknown,female
5DxDLsW6PsLz5gkwC7Mk5S,free,rumi; jinu; ejae; andrew choi; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,2DSE0PhxKUmTPLfZm13sup; 0rIiNDJUesrgFPkYesJmKl; 0RMJOzHDhAKY1o2j0W0vxY; 7JBaynR7JFeniONqbnn1U4; 7mW7Tv7NvywKKXqafZo0Lc,187963,12,92,k-pop,group
0MHStU0muAIEMbwdnebYu2,takedown,huntr/x; ejae; audrey nuna; rei ami; kpop demon hunters cast,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,182016,12,92,k-pop,group
0je57Uq5eTk1wrPzn9sWbl,when did you get hot?,sabrina carpenter,1aqg30bNvLSWgShZgX4oop,man’s best friend,2025-08-29 00:00:00+00:00,2025,74KM79TiuVKeVCqs8QtB0B,145398,12,92,pop,female
7D0RhFcb3CrfPuTJ0obrod,sparks,coldplay,6ZG5lRT77aJ3btmArcykra,parachutes,2000-07-10 00:00:00+00:00,2000,4gzpq5DPGxSnKTe4SA8HAU,227093,10,91,unknown,unknown
55lijDD6OAjLFFUHU9tcDm,where is my husband!,raye,01sqwTOTrN9gaYQc1rr6Zw,where is my husband!,2025-09-19 00:00:00+00:00,2025,5KKpBU5eC2tJDzf0wmlRp2,196795,1,91,unknown,female
04a44cx2PJthIbN2aLMXhl,tit for tat,tate mcrae,1ks1k7zln4TyBjn1CF3vCz,tit for tat,2025-09-26 00:00:00+00:00,2025,45dkTj5sMRSjrmBSBeiHym,175956,1,91,unknown,female
6qqrTXSdwiJaq8SO0X2lSe,ordinary,alex warren,6xomx5ekO7qHDvDh57rZ5S,ordinary,2025-02-07 00:00:00+00:00,2025,0fTSzq9jAh4c36UVb4V7CB,186964,1,91,unknown,male
2yWlGEgEfPot0lv3OAjuG3,just keep watching (from f1® the movie),tate mcrae; f1 the album,5aWEjuULckx3nnpAM9w6gY,just keep watching (from f1® the movie),2025-05-30 00:00:00+00:00,2025,45dkTj5sMRSjrmBSBeiHym; 3aly4xJOy3LVznzvRIvFYC,142550,1,91,unknown,group
6xV7Be6XEvkSnighmh2Tzj,sugar on my tongue,"tyler, the creator",1jzv3jwZbt8lYfEtMjiD1R,don't tap the glass,2025-07-21 00:00:00+00:00,2025,4V8LLVI7PbaPR0K2TGSxFF,153332,10,91,unknown,male
4SRShYMtFIGgnOU7iBicMH,nobody’s son,sabrina carpenter,1aqg30bNvLSWgShZgX4oop,man’s best friend,2025-08-29 00:00:00+00:00,2025,74KM79TiuVKeVCqs8QtB0B,182576,12,90,pop,female
2SsY5k7UWFqgye3PUMG3Oq,the subway,chappell roan,7GlwcUYHB99l7k13I2Hira,the subway,2025-08-01 00:00:00+00:00,2025,7GlBOeep6PqTfFi59PTUUN,252276,1,89,unknown,female
2fuYa3Lx06QQJAm0MjztKr,let down,radiohead,6dVIqQ8qmQ5GBnJ9shOYGE,ok computer,1997-05-28 00:00:00+00:00,1997,4Z8W4fKeB5YxbusRsdQVPb,299560,12,89,alternative rock; art rock,unknown
0ofHAoxe9vBkTCp2UQIavz,dreams - 2004 remaster,fleetwood mac,0BwWUstDMUbgq2NYONRqlu,rumours (super deluxe),1977-02-04 00:00:00+00:00,1977,08GQAI4eElDnROBrJRGE0X,257800,58,89,classic rock; soft rock; yacht rock,unknown
0WbMK4wrZ1wFSty9F7FCgu,"good luck, babe!",chappell roan,1WAjjRMfZjEXtB0lQrAw6Q,"good luck, babe!",2024-04-05 00:00:00+00:00,2024,7GlBOeep6PqTfFi59PTUUN,218423,1,89,unknown,female
3w3y8KPTfNeOKPiqUTakBh,locked out of heaven,bruno mars,58ufpQsJ1DS5kq4hhzQDiI,unorthodox jukebox,2012-12-07 00:00:00+00:00,2012,0du5cEVh5yTK9QJze8zA0C,233478,10,88,unknown,male
0bxPRWprUVpQK0UFcddkrA,folded,kehlani,5enIvPn8EEPWMGxzBzxvcm,folded,2025-06-11 00:00:00+00:00,2025,0cGUm45nv7Z6M6qdXYQGTX,238120,1,88,unknown,non-binary
6wHpLMmp98aHcV8L1JFrj8,eternity,alex warren,6FyViQsaJnS1e5if4ouzGK,"you'll be alright, kid",2025-07-18 00:00:00+00:00,2025,0fTSzq9jAh4c36UVb4V7CB,189553,21,88,unknown,male
3rUGC1vUpkDG9CZFHMur1t,greedy,tate mcrae,3UOV8XvCwMKaATRNXrYCjN,greedy,2023-09-15 00:00:00+00:00,2023,45dkTj5sMRSjrmBSBeiHym,131872,1,88,unknown,female
5vNRhkKd0yEAg8suGBpjeY,apt.,rosé; bruno mars,2IYQwwgxgOIn7t3iF6ufFD,apt.,2024-10-18 00:00:00+00:00,2024,3eVa5w3URK5duf6eyVDbu9; 0du5cEVh5yTK9QJze8zA0C,169917,1,88,k-pop,group
42UBPzRMh5yyz0EDPr6fr1,manchild,sabrina carpenter,3wRHV5fOeUcM5hvYzWZsic,manchild,2025-06-05 00:00:00+00:00,2025,74KM79TiuVKeVCqs8QtB0B,213645,1,88,pop,female
1BxfuPKGuaTgP7aM0Bbdwr,cruel summer,taylor swift,1NAmidJlEaVgA3MpcPFYGq,lover,2019-08-23 00:00:00+00:00,2019,06HL4z0CvFAxyc27GXpf02,178426,18,88,unknown,female
1zi7xx7UVEFkmKfv06H8x0,one dance,drake; wizkid; kyla,40GMAhriYJRO1rsY4YdrZb,views,2016-05-06 00:00:00+00:00,2016,3TVXtAsR1Inumwj472S9r4; 3tVQdUvClmAT7URs9V3rsp; 6TK7fjRPdy2GW2pJzNF23L,173986,20,88,afro r&b; afrobeat; afrobeats; afropiano; afropop; afroswing; azonto; rap,group
0InIeZW4P6VO7dUGRM4AKH,sienna,the marías,03guxdOi12XJbnvxvxbpwG,submarine,2024-05-31 00:00:00+00:00,2024,2sSGPbdZJkaSE2AbcGOACx,224840,14,88,bedroom pop,unknown
0tgVpDi06FyKpA1z0VMD4v,perfect,ed sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (deluxe),2017-03-03 00:00:00+00:00,2017,6eUKZXaKkcviH0Ku9w2n3V,263400,16,88,soft pop,male
7qiZfU4dY1lWllzX7mPBI3,shape of you,ed sheeran,3T4tUhGYeRNVUGevb0wThu,÷ (deluxe),2017-03-03 00:00:00+00:00,2017,6eUKZXaKkcviH0Ku9w2n3V,233712,16,88,soft pop,male
25jgQBxuUkGDdCG1WGKKN9,house tour,sabrina carpenter,1aqg30bNvLSWgShZgX4oop,man’s best friend,2025-08-29 00:00:00+00:00,2025,74KM79TiuVKeVCqs8QtB0B,169214,12,88,pop,female
1j15Ar0qGDzIR0v3CQv3JL,gnarly,katseye,25oD4E4cwmG7SCQIoF3ez5,gnarly,2025-04-30 00:00:00+00:00,2025,3c0gDdb9lhnHGFtP4prQpn,137316,1,88,k-pop,unknown
3hpm0fTeSqlhJbnqAgaLZs,marlboro rojo,fuerza regida,1JpJzuM4uncCfCimVozkmy,111xpantia,2025-05-02 00:00:00+00:00,2025,0ys2OFYzWYB5hRDLCsBqxt,184173,12,88,banda; corrido; corridos bélicos; corridos tumbados; electro corridos; música mexicana; sad sierreño; sierreño,unknown
6sGIMrtIzQjdzNndVxe397,so easy (to fall in love),olivia dean,0l8zYqoUeBYg47Gmevq9HZ,the art of loving,2025-09-26 00:00:00+00:00,2025,00x1fYSGhdqScXBRpSj3DW,169000,12,88,pop soul,female
1mea3bSkSGXuIRvnydlB5b,viva la vida,coldplay,1CEODgTmTwLyabvwd7HBty,viva la vida or death and all his friends,2008-06-06 00:00:00+00:00,2008,4gzpq5DPGxSnKTe4SA8HAU,242373,10,87,unknown,unknown
7gKxCvTDWwV9wBhdeBbr3l,nice to each other,olivia dean,74sFrKGdI7ZBBVKrT9jtdV,nice to each other,2025-05-30 00:00:00+00:00,2025,00x1fYSGhdqScXBRpSj3DW,209000,1,87,pop soul,female
7qEHsqek33rTcFNT9PFqLf,someone you loved,lewis capaldi,5658aM19fA3JVwTK6eQX70,divinely uninspired to a hellish extent,2019-05-17 00:00:00+00:00,2019,4GNC7GD6oZMSxPGyXy4MNB,182160,12,87,soft pop,male
46aZJc0z1HHHSFxaIRxYSP,breakin' dishes,rihanna,3JSWZWeTHF4HDGt5Eozdy7,good girl gone bad: reloaded,2008-06-02 00:00:00+00:00,2008,5pKCCKE2ajJHZ9KAiaK11H,200573,15,87,unknown,female
7fBv7CLKzipRk6EC6TWHOB,the hills,the weeknd,0P3oVJBFOv3TDXlYRhGL7s,beauty behind the madness,2015-08-28 00:00:00+00:00,2015,1Xyo4u8uXC1ZmMpatF05PJ,242253,14,87,unknown,male
0KKkJNfGyhkQ5aFogxQAPU,that's what i like,bruno mars,4PgleR09JVnm3zY1fW3XBA,24k magic,2016-11-17 00:00:00+00:00,2016,0du5cEVh5yTK9QJze8zA0C,206693,9,87,unknown,male
1rKQjUhF9zFJmuUotr3VkV,"takedown (jeongyeon, jihyo, chaeyoung)",twice,14JkAa6IiFaOh5s0nMyMU9,kpop demon hunters (soundtrack from the netflix film),2025-06-20 00:00:00+00:00,2025,7n2Ycct7Beij7Dj7meI4X0,181192,12,87,k-pop,unknown
6AI3ezQ4o3HUoP6Dhudph3,not like us,kendrick lamar,5JjnoGJyOxfSZUZtk2rRwZ,not like us,2024-05-04 00:00:00+00:00,2024,2YZyLoL8N0Wb9xBt1NhZWg,274192,1,87,hip hop; west coast hip hop,male
2tpWsVSb9UEmDRxAl1zhX1,counting stars,onerepublic,20lOt6G8MHv8ZO7ViOmiP7,native,2013-01-01 00:00:00+00:00,2013,5Pwc4xIPtQLFEnJriah9YJ,257265,12,87,soft pop,unknown
59D4DOkspUbWyMmbAPQkxZ,voy a llevarte pa pr,bad bunny,5K79FLRUCSysQnVESLcTdb,debí tirar más fotos,2025-01-05 00:00:00+00:00,2025,4q3ewBCX7sLwd24euuV69X,156364,17,87,latin; reggaeton; trap latino; urbano latino,male
04emojnbYkrRmv5qtJcgVP,what i want (feat. tate mcrae),morgan wallen; tate mcrae,5IZ8sY5FjtL9hloXpv0XbD,i’m the problem,2025-05-16 00:00:00+00:00,2025,4oUHIQIBe0LHzYfvXNW4QM; 45dkTj5sMRSjrmBSBeiHym,184517,37,87,country,group
4QNpBfC0zvjKqPJcyqBy9W,give me everything (feat. nayer),pitbull; afrojack; ne-yo; nayer,4rG0MhkU6UojACJxkMHIXB,planet pit (deluxe version),2011-06-17 00:00:00+00:00,2011,0TnOYISbd1XYRBk9myaseg; 4D75GcNG95ebPtNvoNVXhz; 21E3waRsmPlU7jZsS13rcj; 1ruutHJcECI7cos2n5TqpO,252306,16,87,big room; edm,group
