track_id,track_name,track_popularity,duration_ms,artist_names,artist_ids,album_id,album_name,album_release_date,album_total_tracks
5ZaDUleherOLBbHk2PU1Kr,Another Day in Paradise - 2016 Remaster,54,323040,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,1t89giOgPycfALwe2NuVf8,...But Seriously (2016 Remaster),1989-11-20,12
3RMeOetCdXttthQK0clPuz,How Am I Supposed to Live Without You,70,255666,Michael Bolton,6YHEMoNPbcheiWS2haGzkn,5g9LXOhTPW9Iow6GZPRg2D,Soul Provider,1989-06-27,10
7z38bideBRvGAgjXe2SECm,Opposites Attract,51,265373,Paula Abdul,4PpmBoqphQusNFsxuVKb6j,7zduRJgS6v79QmNUhKGozu,Forever Your Girl,1988-01-01,10
5HAv1Ckfe50DUjv8ghwTrz,Escapade,55,283933,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,4OD3LU6001esAtFshDX46M,Rhythm Nation 1814,1989-09-19,20
1KU5EHSz04JhGg3rReGJ0N,Black Velvet,73,287440,Alannah Myles,6IYnSXO40Bh7Zdqhf6rQoj,1Ghv7iViywM23K8BRFggQv,Alannah Myles,1989,10
0XpJNgmowvBgPDB6alRo6G,Love Will Lead You Back,0,279026,Taylor Dayne,32lVGr0fSRGT6okLKHiP68,7nlXYKVhhf7mMRxcq37TaF,Can't Fight Fate,1989-10-27,10
4K0fYuC7qJx5P7Yh0Ch2zo,I'll Be Your Everything,40,244840,Tommy Page,4TPWj56uIO4N5puju96P0J,6nTtN4mMMCLkn5jF1wfRWf,Paintings In My Mind,1990,10
3nvuPQTw2zuFAVuLsC9IYQ,Nothing Compares 2 U,2,280040,Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,34hQFIwGTLf03BZQmGL0iy,I Do Not Want What I Haven't Got,1990-07-01,10
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,56,289560,Madonna,6tbjWDEIzxoDsBA1FuhfPW,38nngL1nidjNYdHvJ3xJED,I'm Breathless,1990-03-22,12
4VZDv8sASBS8UruUBGTFdk,Hold On,68,266866,Wilson Phillips,1yMYjh77WgOVafRkI50mim,1Xi55xFMaymXdSWshmxhw2,Wilson Phillips,1990-05-08,10
6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",82,259665,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,3dWX1xFUaalRlaaVpe4EPF,It Must Have Been Love,1990-05-20,3
6J6RWKCPN5RFKHUKEUFjxS,Step by Step,61,267293,New Kids On The Block,55qiaow2sDYtjqu1mwRua6,4dCdnfD0shXGuHtyTOtx8q,Step By Step,1990-06-04,12
2d1RPaZmz5fTUGK3ughMo7,She Ain't Worth It,0,218840,Glenn Medeiros; Bobby Brown,0bByarMN8ryEFQsRo6iCUN; 62sPt3fswraiEPnKQpAbdE,4UcOaKxloivYLXGQlfUmtb,Glenn Medeiros,1990,10
0gLQ6jhJsyYfl7PrD1RZ7X,Vision of Love,59,209293,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,5SwNGsGw1I8H361DKiYnnn,Mariah Carey,1990-06-12,11
5gAdATsfINRIljv4LbrKX2,If Wishes Came True,36,315160,Sweet Sensation,0DSE3n3008wiKzfd8vNhWy,5qn1wxqcIjEQl36RM4ZHWR,Love Child,1990,9
1sUTfgduT0WIQO8kXKXxLC,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",64,335240,Jon Bon Jovi,6h2bWHWTJL38N8dqocVaif,5QsPmoN7UK8tL5NRtSuC2Y,Blaze Of Glory,1990-01-01,11
1rIy3lkFJnMsTLZpxFmYU8,Release Me,53,295693,Wilson Phillips,1yMYjh77WgOVafRkI50mim,1Xi55xFMaymXdSWshmxhw2,Wilson Phillips,1990-05-08,10
3JjY2L2bqql54j1SjnjQ23,(Can't Live Without Your) Love And Affection - Remastered 2017,51,236435,Nelson,5jJcbGPjjyEhAoU02ynHaA,3bF75h2NG3y918xMulJ2UI,After The Rain (Remastered),1990-06-26,10
33I3oS8UkebR3KRvqxD9X0,Close To You,59,325800,Maxi Priest,3aTuTR5Nf6pVW3837q2ZL7,3aaKD8vFZnUI8EjHpiV9AQ,Bonafide,1990-01-01,12
3X94UU9WQAiaw6A2NELO1a,Praying for Time,0,281066,George Michael,19ra5tSw0tWufvUp8GotLo,4lGS8HxU3NYaQxfU0wx2r1,Listen Without Prejudice Vol. 1,1990-09-03,10
5In7xBveNACCRX2uWNoPuW,I Don't Have the Heart,60,253506,James Ingram,5bTTx0CRvZj1kRJwUsWWYo,5gN7Im7VUNQm7sJnmdofMc,It's Real,1989,11
4tYpYYoOI7WDxbCnPninwE,Black Cat,42,290573,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,4OD3LU6001esAtFshDX46M,Rhythm Nation 1814,1989-09-19,20
11d9oUiwHuYt216EFA2tiz,Ice Ice Baby,64,271466,Vanilla Ice,7GXXMm3DB1VswVcuGyInUd,1LHacvoBTd7o2d7wwQ9EZD,To The Extreme,1990-01-01,15
48l7PNpT2fBoT4cdLW6EzP,Love Takes Time,61,229226,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,5SwNGsGw1I8H361DKiYnnn,Mariah Carey,1990-06-12,11
3SmPl0CGxvvkQCrTv7edEE,I'm Your Baby Tonight,59,299426,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,5LaUUDnUTySWnJLj1xiBnw,I'm Your Baby Tonight,1990-11-04,11
5133Vr9T5jaSNBlqSQRJDx,Because I Love You (The Postman Song),0,300106,Stevie B,6V7pNWhlJpD0s0bMdB1PU9,3prEGwGL7WsXkiQ2zveo2A,Best Of Stevie B,1991-01-01,12
6NBGabiAuQklrfkufcOqlN,Justify My Love,48,300826,Madonna,6tbjWDEIzxoDsBA1FuhfPW,5MzwGwnO9gkh0z6Nl4FF8h,The Immaculate Collection,1990,17
1SkJ8HjZUZRPYT3R2rh5sA,Love Will Never Do (Without You),46,350000,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,4OD3LU6001esAtFshDX46M,Rhythm Nation 1814,1989-09-19,20
4iqnWPNCt4hhZ96KhjlJKq,The First Time,23,256000,Surface,7dXeJ8kAqTqtvNWQNV3sdU,7xc458qB6WtWcmZt0CqWXk,The First Time: The Best Of Surface,2001-08-21,14
36rXHqN7D1ETFhyKXXKs4w,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),57,243693,C & C Music Factory; Freedom Williams,7krx6UBDKLwE0q3s3fesqF; 08MVPakTEdRJimQNV61NFR,5obiQeM3NZ4NMsoeVxNDxw,Gonna Make You Sweat,1990-12-18,11
07M76e7IXxYdnC1BBiJxEX,All The Man That I Need,57,251426,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,5LaUUDnUTySWnJLj1xiBnw,I'm Your Baby Tonight,1990-11-04,11
6TSM5vkz0WzyZsNAKKYDcw,Someday,50,246106,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,5SwNGsGw1I8H361DKiYnnn,Mariah Carey,1990-06-12,11
2drQ6wg2hdl6RDslarifh8,One More Try,49,209426,Timmy T,5gqcLXiJcBVEduXVle7JN1,2ChU1JJwMIAMMCYJi6ovMl,Time After Time,1990-03-15,9
5x9MJycRilBm2SNavzt9yF,Coming Out of the Dark,32,242626,Gloria Estefan,5IFCkqu9J6xdWeYMk5I889,1TVVVSbdBRF6KtffVu0p2g,Into The Light,1991-01-29,13
02KLiEs31kxh1krQJezlTL,I've Been Thinking About You,43,317933,Londonbeat,0gcMPgunYh4rX1UOdvZKBn,2VMlyvdWmrkvQPqMIITCg3,In The Blood,1990-01-01,12
5KNbCF0FpIWuPE8x6bhGgw,You're In Love,51,291866,Wilson Phillips,1yMYjh77WgOVafRkI50mim,1Xi55xFMaymXdSWshmxhw2,Wilson Phillips,1990-05-08,10
3IDsegNBHC4pjGCOMTQYlU,"Baby, Baby",54,236973,Amy Grant,72Nhcx7prNk2ZCxhx0Y5es,6YbWlg2x8aIHASDTunWF8H,Heart In Motion,1991,11
4wj8ppW6nJ5hYlgfeJNBn2,Joyride,39,263093,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,2s39oUayLt0O5uXkdgmheY,Joyride,1991-03-28,15
0flZtKtmkZMNqFF7V7Yfmu,I Like The Way,47,350266,Hi-Five,0EVUivUkugMtNF09L4QBMH,50q6yYmQ9Mzk4L95sxGXib,Greatest Hits,1994-10-10,12
1hFtJ5rV3aAm58ErijHdFO,I Don't Wanna Cry,48,288826,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,5SwNGsGw1I8H361DKiYnnn,Mariah Carey,1990-06-12,11
1gVgkQFOKa8Wc1HYsJtPdH,More Than Words,77,334106,Extreme,6w7j5wQ5AI5OQYlcM15s2L,7DKHQxJTI32UyCdDdGwvRC,Extreme II - Pornograffitti,1990-01-01,13
015qd1I4v00JIoK7yOUgKC,Rush Rush,61,292933,Paula Abdul,4PpmBoqphQusNFsxuVKb6j,6gHhunUztPgpyBmzeie6MH,Spellbound,1991-01-01,11
2ENmkocNNewTRbuNd6WJpR,Unbelievable,0,209813,EMF,39oSLGo3HkaeYXzUEGgAGQ,1gz9vDJJKfd3NkhzbAtiBs,Schubert Dip,1991-05-07,10
5HQ6AUDMbMuwktvcNPuV1y,(Everything I Do) I Do It For You,40,398026,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,3bbdZdZQtCtnWEN5zG7Eyj,Robin Hood: Prince Of Thieves (Original Motion Picture Soundtrack),1991-01-01,10
5m8xVZhlM7E2mL9uuxZpF6,The Promise Of A New Day,37,272893,Paula Abdul,4PpmBoqphQusNFsxuVKb6j,6gHhunUztPgpyBmzeie6MH,Spellbound,1991-01-01,11
05R2lE5g9hnaSmxIrUl3C0,I Adore Mi Amor,46,289200,Color Me Badd,1QtIfAa6y7w2JhxYJhYeUG,17mrdLXkhmlY36jRm9cUbw,C.M.B.,1991-07-23,12
5hWdgGVcfTeLPAiHM6EZG9,Good Vibrations,64,269306,Marky Mark And The Funky Bunch; Loleatta Holloway,4046bnFxFJdLEtG7F2qXaV; 3m5hegxlB80Z2zQb1893pc,03ZfzcyHfeWSuADL87VuTQ,Music For The People,1991,11
0cELvuwJW1acISUHYB6suj,Emotions,65,248093,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,0SHpIbyBLUugMXsl3yNkUz,Emotions,1991-09-17,10
1eDCizNe4EQMj7okkjIeXo,Romantic,37,247160,Karyn White,5lJBrQQ88JjskJmJeVKX4F,3Xa92ersI2ffOejB5sNeqP,Ritual Of Love,1991,12
5vz2J2kP3vV7mZE9UxnFcG,Cream,0,253066,Prince,5a2EaR3hamoenG9rDuVn8j,0qcgEPOg67XnxGizdAAcGa,Diamonds and Pearls,1991-10-01,13
3ascnOSOR5MX901ylGuhcl,When a Man Loves a Woman,69,231066,Michael Bolton,6YHEMoNPbcheiWS2haGzkn,3tu5RTLzk7J2Oe30hspuPm,"Time, Love & Tenderness",1991-04-23,10
3rcNGUOJ0mPOUcAFUlEyT3,Set Adrift on Memory Bliss (Re-Recorded),0,235800,P.M. Dawn,5DgjOwTN6o76J5Gf8MzEoL,3IeqyRPjr9OLdZgTop4Rxn,Latest & Greatest,2014-02-24,14
7EsjkelQuoUlJXEw7SeVV4,Black or White,72,254933,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,0oX4SealMgNXrvRDhqqOKg,Dangerous,1991-11-13,14
4XmsMIMjvDIFEjeY3ycMzW,All 4 Love,55,211493,Color Me Badd,1QtIfAa6y7w2JhxYJhYeUG,17mrdLXkhmlY36jRm9cUbw,C.M.B.,1991-07-23,12
2KZJJ1rhRVmXM4lwW4OLo9,Don't Let The Sun Go Down On Me - Live At Wembley Arena / 1991,0,347466,Elton John; George Michael,3PhoLpVuITZKcymswpck5b; 19ra5tSw0tWufvUp8GotLo,7ptAfRrbwr8pzM1oeUsRea,Duets,1993-11-22,16
2wmnubOPY1hyR4fSaZ9o1T,I'm Too Sexy,49,170493,Right Said Fred,15ajdFAi5bjj5pS9laBfBL,78u5gGU8ALR3TuvEVWV3tH,Up,1992-07-11,10
0rDgbcExFw7JSJaj1h6qCZ,To Be With You,0,208400,Mr. Big,5OfhOoKunSnuubxxRML8J3,4wrL5QVjiUchNsFOeKXxwn,Lean Into It,1991,11
7okbmgA8lRBGl5limZ7LFM,Save The Best For Last,64,218733,Vanessa Williams,75L9s8KVrhCNtBUkZFnDFW,0ksxzYuZtQz1kYrZEhXDjV,The Comfort Zone,1991-01-01,14
27AHAtAirQapVldIm4c9ZX,Jump,67,195106,Kris Kross,2zrZfs23sjuHDv4E6YRmNf,5bGumbB29JBPlv4ECVURka,Totally Krossed Out,1992-03-17,15
2exGHTlYAUQ5UX4e7Uqc79,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",48,282373,Mariah Carey; Trey Lorenz,4iHNK0tOyZPYnBU7nGAgpQ; 23kP8xlQifcAV4nd84iHbW,0jpGebANqbNNKbWHq2XhEM,MTV Unplugged EP,1992-04-30,7
4vvOv6MDFFPpEb1gwwb2ZD,Baby Got Back,0,262826,Sir Mix-A-Lot,3TQ9JTBI2n2hfo7aRONEYV,0kY8aFxApiXIksV7quPoVF,Mack Daddy,1992-01-01,13
637V2ymBt4Ljlbz4EmRys8,This Used to Be My Playground,50,310266,Madonna,6tbjWDEIzxoDsBA1FuhfPW,7kUiJdXqLkMTkpY0PmXUv5,Something to Remember,1995-11-17,14
794U3ttupMPMfgZo0CT6NF,End Of The Road,44,349640,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,7JnLsJWNUf50DGZ5JhBgbO,Cooleyhighharmony - Expanded Edition,2009-01-01,30
2QVHmiFTjFsHyxONRdbkcq,How Do You Talk To An Angel?,50,227266,The Heights,3VvCoGaJ64OBTnhiqta7XL,1aF9JPXdMLYIBOSDbPYdBD,The Heights,1992-01-01,14
4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,79,271093,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,7JVJlkNNobS0GSoy4tCS96,The Bodyguard - Original Soundtrack Album,1992-11-17,12
7fLkHVJAJLENmSvhrEHZxV,A Whole New World (Aladdin's Theme),52,250400,Peabo Bryson; Regina Belle; Disney,49iKbKGqgn8OESkW5WduX0; 3J9tQvcK0bY3CcVcgRELxH; 3xvaSlT4xsyk6lY1ESOspO,29EiOQJnxWlX5nVOWQpu3u,Aladdin (Original Motion Picture Soundtrack),1992-01-01,21
2LjiPAQOVazT8sRyXL3XRs,Informer,65,268910,Snow,3uZFBSsMiooimnprFL9jD1,6bNWz7bHK8M0xPfAPmFSRW,12 Inches Of Snow,1993,14
5CdJveJgiGXoGwDFqF6afp,Freak Me,60,274533,Silk,3Z71jEhwoPE4xzzUNhKKGD,1ujRHjYVLKXK7do7CnahUQ,Lose Control,1992,10
29rQJydAlO0uMyWvRIZxQg,That's The Way Love Goes,66,265106,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,7qIuZgsMkRuh7rzi4qVcpg,Janet,1993-05-18,28
71EHOyEOhNx1SzTebRRyng,Weak,68,291906,SWV,2NmK5FyrQ18HOPXq1UBzqa,2BBrAtWY0c6dPio5b2JYFK,It's About Time,1992-10-27,15
7ojJ4XvqBhBcteM0zjMebT,(I Can't Help) Falling In Love With You,71,207440,UB40,69MEO1AADKg1IZrq2XLzo5,0B0RuH2PSWoEkIvi75xY5d,Promises And Lies,1993-01-01,11
6HcQZfMrw3KwGyzrKw1Pjy,Dreamlover,0,232960,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,2NKxb7pk04CuZab5udkGUl,Music Box,1993-08-31,10
1k2NivgsLlf1jgn13QqEcd,I'd Do Anything For Love (But I Won't Do That),44,718600,Meat Loaf,7dnB1wSxbYa8CejeVg98hz,5a2wZu322wJXUk7jNqMOEa,Bat Out Of Hell II: Back Into Hell,1993-01-01,11
