track_id,track_name,artist_names,album_id,album_name,album_release_date,release_year,artist_ids,duration_ms,album_total_tracks,track_popularity,genre
1CPZ5BxNNd0n0nF4Orb9JS,Golden,Huntr/X; Ejae; Audrey Nuna; Rei Ami; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,194607,12,100,k-pop
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,Saja Boys; Andrew Choi; Neckwav; Danny Chung; Kevin Woo; Samuil Lee; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,0BJ2EjOqcfgFvlZXNKrNbE; 7JBaynR7JFeniONqbnn1U4; 5bXNU0MAF2HSqyFPhYtscH; 11pXvO7wYuzRWYONDOBd33; 2RYonYiVhhzBz82UFXOvEN; 1eDupbD9kIx8UaZlzcBG5r; 7mW7Tv7NvywKKXqafZo0Lc,150686,12,95,k-pop
1I37Zz2g3hk9eWxaNkj031,Your Idol,Saja Boys; Andrew Choi; Neckwav; Danny Chung; Kevin Woo; Samuil Lee; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,0BJ2EjOqcfgFvlZXNKrNbE; 7JBaynR7JFeniONqbnn1U4; 5bXNU0MAF2HSqyFPhYtscH; 11pXvO7wYuzRWYONDOBd33; 2RYonYiVhhzBz82UFXOvEN; 1eDupbD9kIx8UaZlzcBG5r; 7mW7Tv7NvywKKXqafZo0Lc,191537,12,95,k-pop
1qbmS6ep2hbBRaEZFpn7BX,Man I Need,Olivia Dean,0Bv6OJO0L5gcf20DMww54a,Man I Need,2025-08-15 00:00:00+00:00,2025.0,00x1fYSGhdqScXBRpSj3DW,184000,3,95,pop soul
3RXUgPNIbUgFxsDWuBQEt6,How It’s Done,Huntr/X; Ejae; Audrey Nuna; Rei Ami; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,176059,12,94,k-pop
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17 00:00:00+00:00,2024.0,6qqNVTkY8uBg9cP3Jd7DAH,210373,10,94,
5sBDrrtLGbV64QJnEqfjer,What It Sounds Like,Huntr/X; Ejae; Audrey Nuna; Rei Ami; Kpop Demon Hunters Cast,14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20 00:00:00+00:00,2025.0,2yNNYQBChuox9A5Ka93BIn; 0RMJOzHDhAKY1o2j0W0vxY; 0Wwji82sLA0Hcvtuak3omb; 6U1dV7aL68N7Gb0Naq34V5; 7mW7Tv7NvywKKXqafZo0Lc,250268,12,93,k-pop
3cZajhyr8LmtPfHZ9296tj,No Broke Boys,Disco Lines; Tinashe,520FALYwo6yPbp5kBchA8N,No Broke Boys,2025-06-06 00:00:00+00:00,2025.0,5Kmr0b3ip8g9P2i0dLTC3Z; 0NIIxcxNHmOoyBx03SfTCD,163994,1,93,alternative r&b; stutter house
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,Katseye,6rpin9IVOuBEWBYnrA9hft,Gabriela,2025-06-20 00:00:00+00:00,2025.0,3c0gDdb9lhnHGFtP4prQpn,197226,2,93,k-pop
42VUCXerQ5qTr4Qp6PhKo4,Tears,Sabrina Carpenter,1aqg30bNvLSWgShZgX4oop,Man’s Best Friend,2025-08-29 00:00:00+00:00,2025.0,74KM79TiuVKeVCqs8QtB0B,160183,12,93,pop
